scenario,group_id,window_idx,pkt_in,byte_in,avg_len,std_len,same_size_ratio,unique_src_port,top_port_pkt,iat_mean,iat_std,label
s5,r3_s5_multi_client_20251221_232101.pcap,130,58,23670,408.1034482758621,500.74412523126676,0.2413793103448276,5,12,0.14942152458324767,0.2664339397954386,0
s5,r3_s5_multi_client_20251221_232101.pcap,833,92,45180,491.0869565217391,552.3575097031993,0.2391304347826087,10,12,3.2344074039668826,28.851959324486238,0
s5,r3_s5_multi_client_20251221_232101.pcap,1741,107,46555,435.0934579439252,515.3938614177589,0.2523364485981308,10,12,2.9467254314782485,28.603663106836336,0
s5,r3_s5_multi_client_20251221_232101.pcap,2346,111,46855,422.1171171171171,516.4281124150677,0.23423423423423423,10,12,2.7205358852039683,26.58281144663049,0
s5,r3_s5_multi_client_20251221_232101.pcap,1346,55,23395,425.3636363636364,514.6444973743389,0.23636363636363636,5,12,0.16853544447157118,0.3013028662611077,0
s5,r3_s5_multi_client_20251221_232101.pcap,184,51,23035,451.6666666666667,531.7909683201925,0.23529411764705882,5,11,0.16998291015625,0.4050132999110554,0
s5,r3_s5_multi_client_20251221_232101.pcap,812,42,22230,529.2857142857143,570.5172793057145,0.23809523809523808,5,9,0.18070383769709888,0.33625986225410304,0
s5,r3_s5_multi_client_20251221_232101.pcap,1483,116,47300,407.7586206896552,506.7953511457314,0.25862068965517243,10,12,2.7903390967327617,27.973047095824626,0
s5,r3_s5_multi_client_20251221_232101.pcap,287,116,47300,407.7586206896552,506.7953511457314,0.25862068965517243,10,12,2.832547478053881,28.184494247538524,0
s5,r3_s5_multi_client_20251221_232101.pcap,1635,106,46370,437.45283018867923,532.640824360102,0.22641509433962265,10,12,3.0045804523286366,29.01155164625957,0
s5,r3_s5_multi_client_20251221_232101.pcap,2245,56,23460,418.92857142857144,518.1541020482109,0.25,5,12,0.14769380742853339,0.28326764805140076,0
s5,r3_s5_multi_client_20251221_232101.pcap,1169,88,44820,509.3181818181818,561.4222917460809,0.23863636363636365,10,10,3.5584246975252,31.365160366954512,0
s5,r3_s5_multi_client_20251221_232101.pcap,1504,61,26259,430.4754098360656,506.5828822694649,0.2786885245901639,7,12,5.098668734232585,37.99075673627788,0
s5,r3_s5_multi_client_20251221_232101.pcap,1024,49,22825,465.81632653061223,550.6011065271796,0.20408163265306123,5,10,0.21562476952870688,0.6245518782941509,0
s5,r3_s5_multi_client_20251221_232101.pcap,247,108,46600,431.48148148148147,520.4437472979274,0.23148148148148148,10,12,2.7898048686089916,26.947347584073473,0
s5,r3_s5_multi_client_20251221_232101.pcap,1068,92,45180,491.0869565217391,552.3575097031993,0.2391304347826087,10,12,3.2350545401101582,28.76917760917808,0
s5,r3_s5_multi_client_20251221_232101.pcap,1360,53,23225,438.20754716981133,519.9202536271496,0.24528301886792453,5,12,0.17036382968609148,0.32556704981622253,0
s5,r3_s5_multi_client_20251221_232101.pcap,1188,51,23056,452.078431372549,525.1912011544829,0.2549019607843137,5,11,0.1397228240966797,0.26418435805631424,0
s5,r3_s5_multi_client_20251221_232101.pcap,2190,85,44565,524.2941176470588,565.4561682400255,0.24705882352941178,10,10,3.7872961589268277,32.968221609247486,0
s5,r3_s5_multi_client_20251221_232101.pcap,515,52,23100,444.2307692307692,535.4692268463317,0.21153846153846154,5,11,0.18460610333610983,0.33130375342256946,0
s5,r3_s5_multi_client_20251221_232101.pcap,1016,53,23226,438.22641509433964,519.9136227791107,0.24528301886792453,5,11,0.2615726911104642,0.4538728602195949,0
s5,r3_s5_multi_client_20251221_232101.pcap,1593,50,22930,458.6,541.1358794240131,0.22,5,12,0.17538849188356984,0.3604339704807735,0
s5,r3_s5_multi_client_20251221_232101.pcap,2082,108,46628,431.74074074074076,514.1712204078983,0.25,10,12,3.3293082335284936,32.28273117874428,0
s5,r3_s5_multi_client_20251221_232101.pcap,1228,47,22675,482.4468085106383,549.5828905212063,0.23404255319148937,5,10,0.19343521284020465,0.46029949905276685,0
s5,r3_s5_multi_client_20251221_232101.pcap,1927,109,46666,428.1284403669725,522.2196293718165,0.22018348623853212,10,12,2.889489686047589,28.214163529883788,0
s5,r3_s5_multi_client_20251221_232101.pcap,1694,118,47510,402.6271186440678,498.2310708321443,0.2542372881355932,10,12,2.677907291640583,27.25972151955202,0
s5,r3_s5_multi_client_20251221_232101.pcap,2371,118,47530,402.79661016949154,495.2163293651221,0.2457627118644068,10,12,2.7762743142934947,28.263373910528568,0
s5,r3_s5_multi_client_20251221_232101.pcap,1196,94,45390,482.8723404255319,542.636143012086,0.2553191489361702,10,11,3.4487632013136342,31.551284225471246,0
s5,r3_s5_multi_client_20251221_232101.pcap,1509,112,46900,418.75,521.1956120991701,0.25892857142857145,10,12,2.819424276953345,27.764639927650197,0
s5,r3_s5_multi_client_20251221_232101.pcap,798,89,44885,504.3258426966292,563.6225084476171,0.2247191011235955,10,11,3.6146261475302954,31.777781726892584,0
s5,r3_s5_multi_client_20251221_232101.pcap,1532,113,47005,415.9734513274336,516.803423030682,0.25663716814159293,10,12,2.7717394488198415,27.39063749023325,0
s5,r3_s5_multi_client_20251221_232101.pcap,2330,115,47255,410.9130434782609,502.00536226509684,0.24347826086956523,10,12,2.75027124505294,27.519780809055078,0
s5,r3_s5_multi_client_20251221_232101.pcap,1589,116,47300,407.7586206896552,506.7953511457314,0.25862068965517243,10,12,2.8061389923095703,28.073409184830798,0
s5,r3_s5_multi_client_20251221_232101.pcap,866,88,44820,509.3181818181818,561.4222917460809,0.23863636363636365,10,10,3.5617927025104392,31.46017322863091,0
s5,r3_s5_multi_client_20251221_232101.pcap,446,107,46495,434.5327102803738,524.9528384292225,0.22429906542056074,10,12,3.0534244933218324,29.383793095579204,0
s5,r3_s5_multi_client_20251221_232101.pcap,295,115,47235,410.7391304347826,505.0597224600451,0.24347826086956523,10,12,2.7557987915842155,27.400471448457715,0
s5,r3_s5_multi_client_20251221_232101.pcap,218,106,46430,438.0188679245283,523.1294976792215,0.2358490566037736,10,12,2.9305707840692428,28.171546086102193,0
s5,r3_s5_multi_client_20251221_232101.pcap,2231,118,47510,402.6271186440678,498.2310708321443,0.2542372881355932,10,12,2.5832999465811968,26.061493836572485,0
s5,r3_s5_multi_client_20251221_232101.pcap,1731,111,46835,421.93693693693695,519.5082442491841,0.24324324324324326,10,12,3.083855455571955,30.536972382608358,0
s5,r3_s5_multi_client_20251221_232101.pcap,562,116,47360,408.2758620689655,497.6908330273215,0.25,10,12,2.745879214742909,27.289507737343055,0
s5,r3_s5_multi_client_20251221_232101.pcap,900,87,44715,513.9655172413793,566.4256441097916,0.22988505747126436,10,11,3.7322210711102155,32.58671460761057,0
s5,r3_s5_multi_client_20251221_232101.pcap,2365,109,46665,428.1192660550459,522.2256485250824,0.22935779816513763,10,12,2.8150920514707214,27.571085510968402,0
s5,r3_s5_multi_client_20251221_232101.pcap,520,55,23355,424.6363636363636,527.0128983633344,0.2545454545454545,5,11,0.14522340562608507,0.2704629466669824,0
s5,r3_s5_multi_client_20251221_232101.pcap,1207,90,44970,499.6666666666667,562.2034032862721,0.2222222222222222,10,11,3.432113133119733,30.546082717085746,0
s5,r3_s5_multi_client_20251221_232101.pcap,1831,89,44925,504.7752808988764,556.4503824717987,0.24719101123595505,10,10,3.581748767332597,31.79652456341687,0
s5,r3_s5_multi_client_20251221_232101.pcap,1843,52,23140,445.0,522.5611852287657,0.25,5,12,0.18937447491814108,0.3424237390051758,0
s5,r3_s5_multi_client_20251221_232101.pcap,1092,104,46280,445.0,522.5611852287657,0.25,10,12,3.1027192050970873,29.515827328537544,0
s5,r3_s5_multi_client_20251221_232101.pcap,767,45,22485,499.6666666666667,562.203403286272,0.2222222222222222,5,11,0.18511577086015182,0.34606906181515434,0
s5,r3_s5_multi_client_20251221_232101.pcap,1432,92,45180,491.0869565217391,552.3575097031993,0.2391304347826087,10,11,3.315881058409974,29.751730444594134,0
s5,r3_s5_multi_client_20251221_232101.pcap,2036,83,38610,465.1807228915663,547.6274378742636,0.24096385542168675,10,11,3.8032560813717726,32.76576861270192,0
s5,r3_s5_multi_client_20251221_232101.pcap,1764,70,32387,462.6714285714286,540.5783337296817,0.22857142857142856,10,11,4.177100416542827,33.06482546644126,0
s5,r3_s5_multi_client_20251221_232101.pcap,1117,55,23375,425.0,520.8655383982599,0.23636363636363636,5,12,0.1450203083179615,0.23664225222741175,0
s5,r3_s5_multi_client_20251221_232101.pcap,867,88,44800,509.09090909090907,565.0304423891215,0.22727272727272727,10,11,3.4864387292971557,30.342480985189443,0
s5,r3_s5_multi_client_20251221_232101.pcap,972,49,22825,465.81632653061223,550.6011065271796,0.20408163265306123,5,11,0.19245843092600504,0.40389966307238157,0
s5,r3_s5_multi_client_20251221_232101.pcap,1398,111,46895,422.47747747747746,510.2118769713675,0.24324324324324326,10,12,3.0327016657049004,29.603804096657875,0
s5,r3_s5_multi_client_20251221_232101.pcap,504,109,46725,428.6697247706422,512.8006579280918,0.24770642201834864,10,12,3.033759417357268,29.30868866732618,0
s5,r3_s5_multi_client_20251221_232101.pcap,1613,102,46051,451.48039215686276,535.0530252335847,0.22549019607843138,10,12,3.0548903021481957,28.775228517830552,0
s5,r3_s5_multi_client_20251221_232101.pcap,296,56,23480,419.2857142857143,512.0166959570513,0.23214285714285715,5,12,0.16907345164905896,0.33537593284478984,0
s5,r3_s5_multi_client_20251221_232101.pcap,743,102,36794,360.72549019607845,489.4585274919251,0.2647058823529412,10,12,3.2963186207384165,31.67708113082885,0
s5,r3_s5_multi_client_20251221_232101.pcap,2291,56,23480,419.2857142857143,512.0166959570513,0.23214285714285715,5,12,0.2123659307306463,0.4626950855537087,0
s5,r3_s5_multi_client_20251221_232101.pcap,1850,54,23290,431.2962962962963,523.5882121593347,0.2222222222222222,5,12,0.19160306678628022,0.34225416181514257,0
s5,r3_s5_multi_client_20251221_232101.pcap,753,105,46325,441.1904761904762,527.6865609203666,0.22857142857142856,10,12,3.2651057610144982,31.50303423560548,0
s5,r3_s5_multi_client_20251221_232101.pcap,631,86,36571,425.24418604651163,527.3240020745047,0.23255813953488372,10,10,3.7110356723561004,32.48145568001761,0
s5,r3_s5_multi_client_20251221_232101.pcap,43,51,23056,452.078431372549,525.1912011544829,0.2549019607843137,5,12,0.24087905883789062,0.41371374373598374,0
s5,r3_s5_multi_client_20251221_232101.pcap,2144,42,22230,529.2857142857143,570.5172793057144,0.23809523809523808,5,9,0.2068077645650724,0.3396866642331013,0
s5,r3_s5_multi_client_20251221_232101.pcap,1240,41,22145,540.1219512195122,573.1465225816277,0.24390243902439024,5,9,0.18012523651123047,0.40529406383456046,0
s5,r3_s5_multi_client_20251221_232101.pcap,2115,109,46685,428.302752293578,519.1030638609794,0.22935779816513763,10,12,2.9146494688811124,28.06488948616253,0
s5,r3_s5_multi_client_20251221_232101.pcap,2240,56,23500,419.64285714285717,505.8045722471501,0.25,5,12,0.1493107188831676,0.2034162198508484,0
s5,r3_s5_multi_client_20251221_232101.pcap,2283,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
s5,r3_s5_multi_client_20251221_232101.pcap,111,57,23545,413.0701754385965,515.4564953361047,0.2631578947368421,5,12,0.15376721109662736,0.39107646626004045,0
s5,r3_s5_multi_client_20251221_232101.pcap,1998,99,44638,450.8888888888889,534.7288350633996,0.2222222222222222,10,12,3.093704885366012,28.403419446524953,0
s5,r3_s5_multi_client_20251221_232101.pcap,1595,110,46710,424.6363636363636,527.0128983633346,0.2545454545454545,10,12,2.980037566718705,29.238176258181195,0
s5,r3_s5_multi_client_20251221_232101.pcap,490,109,46665,428.1192660550459,522.2256485250824,0.22935779816513763,10,12,2.751860353681776,26.71663224957123,0
s5,r3_s5_multi_client_20251221_232101.pcap,2311,55,23395,425.3636363636364,514.6444973743389,0.23636363636363636,5,12,0.2065367168850369,0.37281850564567626,0
s5,r3_s5_multi_client_20251221_232101.pcap,1131,48,22760,474.1666666666667,546.7825715543204,0.22916666666666666,5,11,0.18012777287909326,0.4097313548031326,0
s5,r3_s5_multi_client_20251221_232101.pcap,787,89,44905,504.55056179775283,560.0479716859727,0.23595505617977527,10,10,3.61102277582342,31.988280081022694,0
s5,r3_s5_multi_client_20251221_232101.pcap,2125,113,47046,416.3362831858407,510.7038282487759,0.23893805309734514,10,12,2.679669431277684,26.455437086381956,0
s5,r3_s5_multi_client_20251221_232101.pcap,1308,59,23755,402.6271186440678,498.2310708321443,0.2542372881355932,5,12,0.12493133544921875,0.24952223436655432,0
s5,r3_s5_multi_client_20251221_232101.pcap,1434,41,22145,540.1219512195122,573.1465225816277,0.24390243902439024,5,9,0.18652677536010742,0.4142669755744528,0
s5,r3_s5_multi_client_20251221_232101.pcap,1540,116,47361,408.2844827586207,497.6881866575954,0.25,10,12,2.821853886479917,28.267222922711955,0
s5,r3_s5_multi_client_20251221_232101.pcap,1652,53,23205,437.8301886792453,526.3191060115474,0.22641509433962265,5,12,0.16967608378483698,0.3804520891475988,0
s5,r3_s5_multi_client_20251221_232101.pcap,249,57,23585,413.7719298245614,503.2693819327901,0.24561403508771928,5,12,0.1599320343562535,0.3104753658649951,0
